Episode 13100, Evaluation Reward 3555.4215026572747
Episode 13200, Evaluation Reward 3719.704864264536
Episode 13300, Evaluation Reward 3741.073273709124
Episode 13400, Evaluation Reward 3604.035053283348
Episode 13500, Evaluation Reward 3701.0288263614957
Episode 13600, Evaluation Reward 3823.859059128428
Episode 13700, Evaluation Reward 3820.3199606153203
Episode 13800, Evaluation Reward 3831.9954826964868
Episode 13900, Evaluation Reward 3886.6985904040803
Episode 14000, Evaluation Reward 3716.1730272414134
Episode 14100, Evaluation Reward 3819.1198576358365
Episode 14200, Evaluation Reward 3853.7800906002385
Episode 14300, Evaluation Reward 3688.5444732652527
Episode 14400, Evaluation Reward 3823.227753089358
Episode 14500, Evaluation Reward 3707.4561725791013
Episode 14600, Evaluation Reward 3933.858533229627
Episode 14700, Evaluation Reward 3791.8491039041814
Episode 14800, Evaluation Reward 3913.3983178703143
Episode 14900, Evaluation Reward 3970.2089562455412
Episode 15000, Evaluation Reward 3916.786592361043
Episode 15100, Evaluation Reward 3801.269207013041
Episode 15200, Evaluation Reward 3803.668950691589
Episode 15300, Evaluation Reward 3925.598973809602
Episode 15400, Evaluation Reward 3908.2293989512873
Episode 15500, Evaluation Reward 3887.9369323162705
Episode 15600, Evaluation Reward 3584.6235356448306
Episode 15700, Evaluation Reward 3849.628288217625
Episode 15800, Evaluation Reward 3933.2992134605565
Episode 15900, Evaluation Reward 3736.9119789302886
Episode 16000, Evaluation Reward 3882.188525714994
Episode 16100, Evaluation Reward 3810.2373384371613
Episode 16200, Evaluation Reward 3829.5511971018686
Episode 16300, Evaluation Reward 3748.990823012846
Episode 16400, Evaluation Reward 3756.0884351078303
Episode 16500, Evaluation Reward 3707.54889781917
Episode 16600, Evaluation Reward 3677.3354166212093
Episode 16700, Evaluation Reward 3768.303930831828
Episode 16800, Evaluation Reward 3835.2683387098004
Episode 16900, Evaluation Reward 3761.7174394019107
Episode 17000, Evaluation Reward 3815.6036591080374
Episode 17100, Evaluation Reward 3874.1217029921236
Episode 17200, Evaluation Reward 3705.4713285229686
Episode 17300, Evaluation Reward 3910.6251126558373
Episode 17400, Evaluation Reward 3842.5587768991363
Episode 17500, Evaluation Reward 3810.451841380755
Episode 17600, Evaluation Reward 3731.1833007795894
Episode 17700, Evaluation Reward 3918.6712174485338
Episode 17800, Evaluation Reward 3869.336406068617
Episode 17900, Evaluation Reward 3938.09752951899
Episode 18000, Evaluation Reward 3719.202167579248
Episode 18100, Evaluation Reward 3915.1636185038283
Episode 18200, Evaluation Reward 3915.6141231630218
Episode 18300, Evaluation Reward 3945.395315474274
Episode 18400, Evaluation Reward 3677.402543845703
Episode 18500, Evaluation Reward 3955.3038097985823
Episode 18600, Evaluation Reward 3941.175121236532
Episode 18700, Evaluation Reward 3765.0585870879318
Episode 18800, Evaluation Reward 3847.5752699491322
Episode 18900, Evaluation Reward 3901.6196366168833
Episode 19000, Evaluation Reward 3920.922148878787
Episode 19100, Evaluation Reward 3921.882869404171
Episode 19200, Evaluation Reward 3821.9756728862376
Episode 19300, Evaluation Reward 4013.576070939943
Episode 19400, Evaluation Reward 3921.439411235664
Episode 19500, Evaluation Reward 3815.2063714664996
Episode 19600, Evaluation Reward 3972.317056791424
Episode 19700, Evaluation Reward 4040.078233758942
Episode 19800, Evaluation Reward 4073.9885658836183
Episode 19900, Evaluation Reward 4027.074483374376
Episode 20000, Evaluation Reward 4005.613734072865
Episode 20100, Evaluation Reward 4092.921163883312
Episode 20200, Evaluation Reward 4073.2951240828893
Episode 20300, Evaluation Reward 4000.1184339118035
Episode 20400, Evaluation Reward 4080.7327897593073
Episode 20500, Evaluation Reward 4024.379871845128
Episode 20600, Evaluation Reward 4052.1114176746787
Episode 20700, Evaluation Reward 3992.2167849412663
Episode 20800, Evaluation Reward 4054.566133695744
Episode 20900, Evaluation Reward 4066.51854651269
Episode 21000, Evaluation Reward 3922.9590388765087
Episode 21100, Evaluation Reward 4044.192346081391
Episode 21200, Evaluation Reward 4062.893057637191
Episode 21300, Evaluation Reward 3955.872057721763
Episode 21400, Evaluation Reward 4057.9719753410172
Episode 21500, Evaluation Reward 4086.3612002730524
Episode 21600, Evaluation Reward 4067.616578615656
Episode 21700, Evaluation Reward 3878.0184162951127
Episode 21800, Evaluation Reward 3898.993399162402
Episode 21900, Evaluation Reward 4053.551639636008
Episode 22000, Evaluation Reward 4091.2618874711334
Episode 22100, Evaluation Reward 4063.54943568726
Episode 22200, Evaluation Reward 4069.616173579167
Episode 22300, Evaluation Reward 3996.3846731875237
Episode 22400, Evaluation Reward 3980.217692483317
Episode 22500, Evaluation Reward 4029.6967279733385
Episode 22600, Evaluation Reward 3667.4097968182105
Episode 22700, Evaluation Reward 3864.757277589514
Episode 22800, Evaluation Reward 3654.791611040032
Episode 22900, Evaluation Reward 3931.7120843350663
Episode 23000, Evaluation Reward 3829.1688716360927
Episode 23100, Evaluation Reward 4008.3054011321715
Episode 23200, Evaluation Reward 4116.911009259894
Episode 23300, Evaluation Reward 4066.5690157610684
Episode 23400, Evaluation Reward 4023.435919999625
Episode 23500, Evaluation Reward 4020.3816177040135
Episode 23600, Evaluation Reward 4030.0010449352094
Episode 23700, Evaluation Reward 3992.7474566715127
Episode 23800, Evaluation Reward 4027.9083391805407
Episode 23900, Evaluation Reward 3852.6275672272022
Episode 24000, Evaluation Reward 3901.010879181823
Episode 24100, Evaluation Reward 3971.6866202449573
Episode 24200, Evaluation Reward 4099.9754295574985
Episode 24300, Evaluation Reward 4116.241082569363
Episode 24400, Evaluation Reward 3902.0805347565756
Episode 24500, Evaluation Reward 4130.342008289878
Episode 24600, Evaluation Reward 4005.3260170424373
Episode 24700, Evaluation Reward 3872.2868920616615
Episode 24800, Evaluation Reward 4018.866253474611
Episode 24900, Evaluation Reward 3990.0550873866537
Episode 25000, Evaluation Reward 4093.3041980902126
Episode 25100, Evaluation Reward 3957.1672766441325
Episode 25200, Evaluation Reward 4117.132698492326
Episode 25300, Evaluation Reward 4030.34389125045
Episode 25400, Evaluation Reward 4079.287510864233
Episode 25500, Evaluation Reward 4029.0324644888765
Episode 25600, Evaluation Reward 4081.293193191426
Episode 25700, Evaluation Reward 4113.780824137945
Episode 25800, Evaluation Reward 3836.8300683432944
Episode 25900, Evaluation Reward 3850.8599421846143
Episode 26000, Evaluation Reward 4038.0716298672814
Episode 26100, Evaluation Reward 4110.375471337775
Episode 26200, Evaluation Reward 3862.8951616060685
Episode 26300, Evaluation Reward 3992.8111525082218
Episode 26400, Evaluation Reward 3991.1181819798585
Episode 26500, Evaluation Reward 3979.353248912771
Episode 26600, Evaluation Reward 3960.6049552015625
Episode 26700, Evaluation Reward 4059.0235492870897
Episode 26800, Evaluation Reward 3940.039441090492
Episode 26900, Evaluation Reward 3920.802970081152
Episode 27000, Evaluation Reward 4140.480754510839
Episode 27100, Evaluation Reward 4038.082823296111
Episode 27200, Evaluation Reward 4090.716174743137
Episode 27300, Evaluation Reward 4089.930436240792
Episode 27400, Evaluation Reward 4151.5456766644875
Episode 27500, Evaluation Reward 3944.418055164587
Episode 27600, Evaluation Reward 4104.194642505655
Episode 27700, Evaluation Reward 4104.411730527866
Episode 27800, Evaluation Reward 4093.4693264441607
Episode 27900, Evaluation Reward 3813.1722554579546
Episode 28000, Evaluation Reward 4023.8272421190027
Episode 28100, Evaluation Reward 4056.530000226877
Episode 28200, Evaluation Reward 3943.8469627351237
Episode 28300, Evaluation Reward 3857.769356135371
Episode 28400, Evaluation Reward 4074.9166671499565
Episode 28500, Evaluation Reward 4078.2602239290654
Episode 28600, Evaluation Reward 4067.1715048308433
Episode 28700, Evaluation Reward 4063.500767813052
Episode 28800, Evaluation Reward 4137.384521719233
Episode 28900, Evaluation Reward 4013.5702811965516
Episode 29000, Evaluation Reward 4066.8132554147305
Episode 29100, Evaluation Reward 4092.7239035272396
Episode 29200, Evaluation Reward 4068.640413551071
Episode 29300, Evaluation Reward 4133.184421738351
Episode 29400, Evaluation Reward 4089.7115638781775
Episode 29500, Evaluation Reward 4071.887978895934
Episode 29600, Evaluation Reward 4127.500129923885
Episode 29700, Evaluation Reward 3943.218126193776
Episode 29800, Evaluation Reward 4114.987439848061
Episode 29900, Evaluation Reward 3907.5956072869326
Episode 30000, Evaluation Reward 4222.465017563428
Episode 30100, Evaluation Reward 4124.179301962219
Episode 30200, Evaluation Reward 4032.0770569794013
Episode 30300, Evaluation Reward 3981.620426454978
Episode 30400, Evaluation Reward 3947.3829417902793
Episode 30500, Evaluation Reward 3976.773724956491
Episode 30600, Evaluation Reward 3945.1362402412838
Episode 30700, Evaluation Reward 4106.798033568649
Episode 30800, Evaluation Reward 4072.3954919200137
Episode 30900, Evaluation Reward 4111.634343480505
Episode 31000, Evaluation Reward 4060.408719614448
Episode 31100, Evaluation Reward 4092.7138227458768
Episode 31200, Evaluation Reward 3979.5843347565906
Episode 31300, Evaluation Reward 4068.5559837421774
Episode 31400, Evaluation Reward 4094.5636011139186
Episode 31500, Evaluation Reward 4086.027238993674
Episode 31600, Evaluation Reward 4049.721776466949
Episode 31700, Evaluation Reward 4100.854413997131
Episode 31800, Evaluation Reward 4177.6629018376825
Episode 31900, Evaluation Reward 3976.093043010169
Episode 32000, Evaluation Reward 4115.420784056614
Episode 32100, Evaluation Reward 3998.0983978946397
Episode 32200, Evaluation Reward 4129.794931317054
Episode 32300, Evaluation Reward 4076.1271218680936
Episode 32400, Evaluation Reward 4095.446543541072
Episode 32500, Evaluation Reward 4062.172280285915
Episode 32600, Evaluation Reward 4125.347010015153
Episode 32700, Evaluation Reward 4085.2599774334567
Episode 32800, Evaluation Reward 4076.635333006084
